11,5.6,19.7,0.001,5.2,2.8,0.7,3.6,19,66.9,11.3,13.3,2.8,1360
10.6,3.9,19.5,0.001,5.9,4,0.8,6.1,42,77.3,11.3,12.3,0.1,1310
14.6,8.4,22.3,0.001,7,4.4,1.1,10.5,39,78.5,11.2,15,4,1310
12.1,5.7,18.8,0.001,5.1,3.5,1,9.7,55,86.6,11.1,13.4,1.7,1270
14.1,9.1,21.6,0.001,6.1,3.6,1.1,9,36,75.3,11.1,15.8,5.1,1240
11.5,6.9,17.9,0.001,11.8,7,1.7,8.7,46,84.1,11.1,12.4,1.3,1250
10,9.6,10.6,1.4,4.1,2.7,1.2,8.9,89,93.5,11,11.1,8.1,1270
7.6,1,15.7,0.001,6.5,3.6,1.1,3,37,77.5,10.9,9.7,-2,1250
10.6,6.9,15,18.4,13.8,7.5,2.7,7.9,44,84.6,10.9,10.4,1.7,1250
9.3,2.6,17.6,0.001,6.7,4.2,1,3.6,27,73.4,10.9,10.5,-2.3,1270
9.8,3.9,14.9,0.001,4.1,2.7,1,6.6,58,82,10.8,10.8,-1,1300
9.5,8.1,11.9,5,6.5,3,0.8,7.8,70,89.4,10.8,10.1,3.8,1300
6.1,2.2,8.8,0.001,8.6,4.7,1.9,-3.2,21,54,10.7,5,-3.1,1000
0.9,-3.2,8.1,0.001,10.3,5.5,1.4,-9.1,15,51.1,10.6,2.7,-9.4,900
0.8,-5.9,7.3,0.001,8.6,4.3,1.2,-9.9,8,51.5,10.6,1.7,-11.3,895
4,0.001,8.8,0.001,10.4,3.5,1.4,-2.8,40,62.4,10.6,4.3,-3.9,860
7.6,-0.2,13.1,0.001,11.7,6.1,2.4,1,35,65.1,10.5,5.8,-4.2,855
8.6,5.5,11.1,0.2,10.6,5.5,2.7,6,69,84.6,10.4,9,5.6,855
5.2,-0.8,9.1,1.2,12.3,4.1,1.6,-0.8,39,66.6,10.4,7,-4.1,840
1.1,-2.5,8.2,0.001,6.4,4.3,1.4,-3.8,22,73.1,10.4,3.3,-5.2,860
4.1,-1.7,9.3,0.001,6.8,4.1,1.3,-0.2,38,75.1,10.3,4.2,-3.8,840
4.9,0.5,9.1,0.001,13.6,4.7,1.7,-1.6,37,64.3,10.3,4.6,-3.1,840
12.3,4.7,16.4,0.001,9.4,4.6,2,8,59,76,10.2,8.9,1,870
5.7,-1.3,12.2,0.001,7.2,5.3,1.6,0.001,22,68.6,10.2,5.3,-5,880
3.4,-3.3,12.5,0.001,8,3.9,0.9,-6.3,12,55.4,10.2,1.9,-7.4,880
3,-2,11.5,0.001,5.3,3.6,0.9,-2.7,31,68.9,10.1,2.5,-5.4,900
7.4,-1.4,15.2,4.5,8.8,4.1,1.5,1.5,29,71.3,10.1,3.4,-5.6,890
5.6,0.8,10.1,0.001,6.5,4.3,0.9,3.2,69,85.8,10,4.8,-3,920
2.7,-0.4,6,0.001,7.8,3.4,1.2,-0.6,51,80,10,4.4,-1.1,940
-0.5,-4,2.4,0.001,6.1,4,1.6,-3.6,42,80.6,10,2.2,-8,930
-3.2,-6.9,2.5,0.001,9.9,4.7,1.3,-18.3,11,31.1,10,-2,-10.8,910
-3.1,-7.7,2.1,0.001,8.7,3.5,1.4,-12.8,29,48.5,9.9,-2.7,-10.3,910
-0.2,-4.1,5.3,0.001,8.6,3.6,1.3,-9.4,24,52.1,9.9,-1.6,-8.6,910
-1.3,-7.3,5.1,0.001,6.6,4.3,1.1,-6.3,35,71,9.8,-2,-10.2,910
3.6,0.3,5.9,0.3,10.8,5,1.6,1.3,67,86,9.8,0.5,-0.5,1000
1.9,-2.7,5.2,0.001,15.6,4.8,2.5,-8.8,24,46.9,9.8,0.6,-7,1050
4.4,0.4,7.4,0.1,12.7,4.8,2.4,-1.3,53,66.6,9.7,0.5,-2.7,1140
-2.6,-7.8,2.4,0.001,9.7,4.3,1.4,-14.1,17,44.4,9.7,-2.6,-11.1,1110
-2.2,-8.7,3.8,0.001,9.7,5,1.2,-7.9,55,65.4,9.7,-2.5,-11.3,1170
-1.5,-8.2,4.2,0.001,8.8,5.2,1.7,-8.4,28,63.6,9.7,-2.7,-11.5,1170
-0.3,-5.3,3,0.6,10.9,4.6,1.9,-6.7,43,63.3,9.7,-1.5,-9,1200
2.8,-6.9,6,0.001,9.7,6.3,2.1,-7.1,15,50.3,9.7,-1.8,-12,1210
2.5,-0.5,6.9,0.2,8.5,5.6,1.6,-1.2,52,77.8,9.6,-0.1,-4.1,1230
-2.1,-4,0.4,3,6.5,3.7,1.2,-3.2,86,91.6,9.6,-1.2,-1.8,1270
-6.1,-10.1,-2.6,0.001,9.1,3.8,1.2,-12,38,65,9.6,-1.5,-5.2,1375
-7.3,-13.7,-2,0.001,10.2,4.2,1.6,-18.5,15,45.9,9.6,-2.1,-7.4,1390
3.9,-0.4,8.3,0.1,6.4,3.7,1.1,1.5,54,84.6,9.6,0.5,-3.5,1365
2,-2.6,9.5,0.001,5.4,3.7,0.8,-0.2,56,86.6,9.6,0.7,-7.5,1375
3.7,-4.7,12.1,30.3,9,6,0.9,1.5,45,88.4,9.6,2.3,-9,1435
6.6,0.4,13.3,21.2,13.6,5.7,2.6,3.5,68,80.8,9.6,6.9,0.3,1420
-3.5,-6.6,0.5,0.001,9.2,3.9,1.6,-7.2,62,75.4,9.6,-1,-7.5,1450
1.2,-0.3,4.4,5.8,6.3,4,0.8,-1.5,48,83.8,9.6,-0.4,-1,1340
-3.2,-7.5,-0.1,1.1,2.6,1.3,0.001,-5.8,70,82.1,9.6,-0.9,-3.6,1290
-4.6,-10.2,1.4,0.001,9.4,5.1,1.4,-13.7,27,54.3,9.6,-1.3,-5.4,1255
-5.6,-9,-2.4,0.001,10.3,4.2,1.6,-14.6,30,50.3,9.6,-1.5,-7.3,1255
-5.5,-12,-0.4,0.001,11.9,6.4,1.9,-15,17,50.4,9.7,-2.6,-9,1200
